timestamp,particulates,ozone,temperature,wind,aqi,county
"June 08, 2016 02:38:54 am",9.3,0.012,67,,012,weber
"June 08, 2016 02:39:45 am",4.5,0.048,72,E 7.9,050,box elder
"June 08, 2016 02:39:45 am",11.9,0.026,62,N 9.1,025,cache
"June 08, 2016 02:39:46 am",,0.048,70,,050,carbon
"June 08, 2016 02:39:46 am",,,73,E 2.8,_na,davis
"June 08, 2016 02:39:46 am",6.3,0.038,58,,037,duchesne
"June 08, 2016 02:39:46 am",,,73,E 2.8,_na,salt lake
"June 08, 2016 02:39:46 am",5.6,0.04,67,S 6.3,037,tooele
"June 08, 2016 02:39:46 am",21.3,0.038,62,,037,uintah
"June 08, 2016 02:39:47 am",3.3,0.032,70,N 2.3,037,utah
"June 08, 2016 02:39:47 am",8.8,0.037,81,,037,washington
"June 08, 2016 02:39:47 am",9.3,0.012,67,,012,weber
"June 08, 2016 03:51:18 pm",9.4,0.061,87,,075,box elder
"June 08, 2016 03:51:18 pm",5.5,0.058,82,S 9.4,050,cache
"June 08, 2016 03:51:18 pm",,0.055,85,W 15.4,050,carbon
"June 08, 2016 03:51:19 pm",,0.068,93,,100,davis
"June 08, 2016 03:51:19 pm",5.7,0.06,92,,075,duchesne
"June 08, 2016 03:51:19 pm",,0.068,93,,100,salt lake
"June 08, 2016 03:51:19 pm",9.4,0.06,91,,075,tooele
"June 08, 2016 03:51:19 pm",13.6,0.042,68,,037,uintah
"June 08, 2016 03:51:19 pm",4.2,0.07,89,,100,utah
"June 08, 2016 03:51:20 pm",11.4,0.065,97,,075,washington
"June 08, 2016 03:51:20 pm",9.1,0.064,86,,075,weber
"June 08, 2016 08:21:20 pm",8.9,0.051,90,,050,box elder
"June 08, 2016 08:21:21 pm",,0.054,85,S 10.7,050,cache
"June 08, 2016 08:21:21 pm",,0.054,86,W 15.2,050,carbon
"June 08, 2016 08:21:21 pm",7.2,0.058,94,,050,davis
"June 08, 2016 08:21:21 pm",8.1,0.055,88,E 5.8,050,duchesne
"June 08, 2016 08:21:21 pm",7.2,0.058,94,,050,salt lake
"June 08, 2016 08:21:21 pm",,0.058,93,,050,tooele
"June 08, 2016 08:21:22 pm",,0.056,80,,050,uintah
"June 08, 2016 08:21:22 pm",1.3,0.07,93,,100,utah
"June 08, 2016 08:21:22 pm",27.2,0.056,99,,050,washington
"June 08, 2016 08:21:22 pm",8.7,0.054,89,W 3.4,050,weber
"June 09, 2016 03:41:23 pm",1.6,0.058,93,,050,salt lake
"June 09, 2016 03:41:33 pm",6.6,0.045,87,,037,box elder
"June 09, 2016 03:42:53 pm",6.6,0.045,87,,037,box elder
"June 09, 2016 03:45:53 pm",,0.056,82,S 10,050,cache
"June 09, 2016 03:49:00 pm",,0.056,82,S 10,050,cache
"June 09, 2016 04:04:52 pm",6.6,0.045,87,SW 6.6,037,box elder
"June 09, 2016 04:04:52 pm",,0.056,82,S 10,050,cache
"June 09, 2016 04:04:52 pm",,0.06,86,SE 4.6,075,carbon
"June 09, 2016 04:04:52 pm",1.6,0.058,93,NW 8.1,050,davis
